strike_type,strike_group,strike_frame,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y
forehand,0295ea59f2cb4ffae018b6b4774487b1,3,449.122,321.771,417.822,321.793,380.548,349.262,378.603,294.389,480.479,319.888,525.601,321.827,572.589,308.085,431.557,435.462,503.957,507.84,505.912,607.809,445.223,433.499,415.862,517.68,339.412,564.736
forehand,0295ea59f2cb4ffae018b6b4774487b1,5,460.833,321.767,439.362,321.753,413.925,366.747,392.323,335.578,480.517,321.727,0,0,0,0,451.096,433.477,511.833,507.947,507.834,605.91,449.17,431.557,415.763,507.806,357.072,572.491
forehand,0295ea59f2cb4ffae018b6b4774487b1,6,464.883,308.142,451.125,315.898,447.287,368.864,415.923,355.175,478.608,304.204,492.137,335.545,513.813,337.523,462.796,431.453,513.799,505.994,507.818,604.006,443.282,429.522,413.934,498.127,372.73,572.664
forehand,0295ea59f2cb4ffae018b6b4774487b1,7,462.816,306.069,474.605,312.019,480.478,360.964,496.139,380.545,449.174,300.224,431.551,333.518,0,0,464.789,415.809,509.901,503.983,507.841,603.893,437.419,411.936,421.699,492.226,398.133,570.514
forehand,1315aadf069b5fad219a80da39687168,0,291.771,130.542,300.609,133.441,315.292,163.737,330.921,154.965,280.099,129.56,0,0,0,0,282.046,191.119,295.713,235.102,300.606,283.995,267.386,187.2,262.51,230.204,252.687,271.268
forehand,1315aadf069b5fad219a80da39687168,10,291.815,145.161,294.755,146.185,303.551,170.594,327.994,183.308,285.96,143.237,301.593,156.923,316.25,158.833,284.956,206.749,301.556,240.961,294.748,285.979,269.359,201.883,261.467,239.057,239.021,275.184
forehand,1315aadf069b5fad219a80da39687168,11,291.777,145.159,294.735,146.153,304.533,170.594,326.037,189.186,284.99,143.236,294.736,169.637,0,0,283.025,205.758,301.546,240.038,293.821,285.94,270.295,200.906,260.53,239.034,238.053,273.245
forehand,1315aadf069b5fad219a80da39687168,12,290.837,144.238,294.756,146.174,309.448,175.502,331.904,193.081,284.96,142.248,298.64,169.627,0,0,284.943,202.855,300.615,240.963,293.819,285.943,269.356,199.908,257.582,238.984,237.991,274.227
forehand,1315aadf069b5fad219a80da39687168,13,289.87,143.217,300.594,146.141,311.365,175.437,332.918,196.977,278.178,138.316,0,0,0,0,285.908,200.91,300.572,239.998,293.804,285.955,268.31,197.98,255.627,237.991,237.067,275.171
forehand,1315aadf069b5fad219a80da39687168,14,289.867,138.335,301.629,144.221,316.273,175.454,337.751,197.001,277.104,134.441,268.318,136.403,279.134,128.566,285.968,199.891,298.664,240.01,293.814,285.945,267.355,193.092,254.651,231.214,238.003,270.329
